时间	开盘	最高	最低	收盘	涨幅	振幅	总手	金额
2014-09-10 	31.32	37.58	31.32	37.58	43.98 	23.98 	31,756	1,186,473
2014-09-11 	41.34	41.34	41.34	41.34	10.01 	0.00 	9,500	392,730
2014-09-12 	45.47	45.47	45.47	45.47	9.99 	0.00 	15,650	711,605
2014-09-15 	50.02	50.02	50.02	50.02	10.01 	0.00 	42,050	2,103,341
2014-09-16 	55.02	55.02	55.02	55.02	10.00 	0.00 	155,950	8,580,369
2014-09-17 	60.52	60.52	60.52	60.52	10.00 	0.00 	237,677	14,384,212
2014-09-18 	66.57	66.57	66.57	66.57	10.00 	0.00 	245,824	16,364,503
2014-09-19 	73.23	73.23	73.23	73.23	10.00 	0.00 	247,148	18,098,648
2014-09-22 	80.55	80.55	80.55	80.55	10.00 	0.00 	808,502	65,124,836
2014-09-23 	82.97	88.61	82.01	88.61	10.01 	8.19 	9,999,230	856,258,940
2014-09-24 	94	97.47	93	97.47	10.00 	5.04 	3,463,143	329,778,510
2014-09-25 	102.5	107.22	98.08	99.8	2.39 	9.38 	7,042,693	724,796,180
2014-09-26 	99.59	102.75	97.3	98.47	-1.33 	5.46 	3,476,656	346,481,100
2014-09-29 	99.25	101.76	97.6	100.95	2.52 	4.22 	2,678,452	266,851,740
2014-09-30 	100	101.12	98.35	101.12	0.17 	2.74 	1,690,143	168,297,100
2014-10-08 	101	111.23	100.33	111.23	10.00 	10.78 	2,746,369	293,117,010
2014-10-09 	113.3	115	108.01	109.2	-1.83 	6.28 	2,987,122	332,325,940
2014-10-10 	106.97	107.97	103.05	104	-4.76 	4.51 	1,984,312	209,417,610
2014-10-13 	102.61	105.8	102.5	104.9	0.87 	3.17 	1,186,346	123,969,068
2014-10-14 	104.02	108.8	102.88	107.2	2.19 	5.64 	1,793,547	189,393,140
2014-10-15 	105.88	117.92	105.1	117.92	10.00 	11.96 	2,255,412	256,357,300
2014-10-16 	119.11	129.71	119	124.56	5.63 	9.08 	2,670,608	330,991,400
2014-10-17 	123.9	130.8	123.33	125.21	0.52 	6.00 	1,881,721	238,642,720
2014-10-20 	125.01	128.8	122.1	126.4	0.95 	5.35 	1,499,344	187,693,460
2014-10-21 	126.52	131.29	124.5	126.8	0.32 	5.37 	1,330,705	169,760,450
2014-10-22 	125.2	127.95	120.71	120.82	-4.72 	5.71 	1,418,952	176,604,730
2014-10-23 	119.3	122.97	118.05	119.99	-0.69 	4.07 	1,013,805	122,266,667
2014-10-24 	120.5	131.99	120.12	129.2	7.68 	9.89 	2,275,758	291,849,940
2014-10-27 	126.52	129.99	124	124	-4.02 	4.64 	1,424,578	181,332,950
2014-10-28 	125.66	127.87	120	125.97	1.59 	6.35 	1,871,829	231,941,670
2014-10-29 	125.4	136.5	124.61	133.7	6.14 	9.44 	1,829,379	239,063,170
2014-10-30 	133.8	140.14	132.65	137.7	2.99 	5.60 	1,383,793	188,972,160
2014-10-31 	137.45	141.95	134	139.72	1.47 	5.77 	1,019,684	140,712,500
2014-11-03 	138.02	141	135.5	140	0.20 	3.94 	997,846	138,471,000
2014-11-04 	139	139.56	134	138	-1.43 	3.97 	890,329	121,889,859
2014-11-05 	137.5	145.51	137.5	144.1	4.42 	5.80 	1,393,703	197,486,030
2014-11-06 	144.5	158.51	144	158.51	10.00 	10.07 	1,984,626	305,974,900
2014-11-07 	160	160.51	147.9	150.2	-5.24 	7.96 	2,510,359	385,754,420
2014-11-10 	148	163.88	147.58	163.49	8.85 	10.85 	2,011,535	311,777,230
2014-11-11 	160.5	172	157.61	168	2.76 	8.80 	2,007,272	330,840,760
2014-11-12 	167	183.99	165.1	179.01	6.55 	11.24 	1,907,805	332,907,830
2014-11-13 	166	178.1	166	172.5	-3.64 	6.76 	1,909,050	329,403,420
2014-11-14 	171	173.75	155.25	155.27	-9.99 	10.72 	2,737,498	438,151,180
2014-11-17 	153	166	152.95	154.99	-0.18 	8.40 	1,898,774	303,209,240
2014-11-18 	155.13	158.4	150.49	153.05	-1.25 	5.10 	1,836,811	283,308,980
2014-11-19 	152.2	155.99	149.01	153.4	0.23 	4.56 	1,847,013	281,126,240
2014-11-20 	151.61	155.3	150.7	153.96	0.37 	3.00 	983,273	150,464,030
2014-11-21 	153.32	161.85	153.06	157.41	2.24 	5.71 	1,650,278	260,695,130
2014-11-24 	158.97	158.97	153.6	153.7	-2.36 	3.41 	1,272,631	197,541,770
2014-11-25 	152.03	152.9	138.33	138.78	-9.71 	9.48 	3,705,311	526,414,420
2014-11-26 	133.36	138.77	132.8	134.05	-3.41 	4.30 	2,926,523	394,467,500
2014-11-27 	136	137.98	135.01	136.23	1.63 	2.22 	2,383,718	325,314,690
